Authors;Year;Region;Country;Habitat;Family;Genus_species;Sex;Sex_Imp;Metric;N;distance_type;Distance;SD;SE;CI_95;Foraging trips cease (km);Communication ceases (km);Notes;follow_up
Beil M., Horn H., Schwabe A.;2008;Europe;Germany;natural - nature reserve;Andrenidae;Andrena_dorsata;Female;Female;pollen mapping;1;Minimum;650;;;;;;;
Beil M., Horn H., Schwabe A.;2008;Europe;Germany;natural - nature reserve;Andrenidae;Andrena_flavipes;Female;Female;pollen mapping;3;Minimum;800;303,1088913;;;;;;
Beil M., Horn H., Schwabe A.;2008;Europe;Germany;natural - nature reserve;Halictidae;Lasioglossum_calceatum;Female;Female;pollen mapping;4;Minimum;545;383,5361782;;;;;;
Beil M., Horn H., Schwabe A.;2008;Europe;Germany;natural - nature reserve;Halictidae;Lasioglossum_fulvicorne;Female;Female;pollen mapping;1;Minimum;1250;;;;;;;
Bennet et al. (2018);2018;Australasia;New Zealand;urban;Halictidae;Lasioglossum_sordidum;Female;Female;nest plant association;;Mean;115,5;;;;;;Site 1 -Mean minimum to host plants;
Bennet et al. (2018);2018;Australasia;New Zealand;urban;Halictidae;Lasioglossum_sordidum;Female;Female;nest plant association;;Mean;156,81;;;;;;Site 2 - Mean minimum to host plants;
Bohart and Nye (1956);1956;NA;NA;NA;Halictidae;Nomia_melanderi;Female;Female;NA;;Max;11265;;;;;"""forage as far as seven miles""";yes_pdf;
C. O’Toole (personal communication 7/14/04);2004;;;;Halictidae;Lasioglossum_malachurum;Female;Female;nest plant association;;Mean;500;;;;;Observed distance - not sure if mean or max;NA;
C. O’Toole (personal communication 7/14/04);2004;;;;Halictidae;Lasioglossum_pauxillum;Female;Female;nest plant association;;Mean;480;;;;;Observed distance - not sure if mean or max;NA;
C. O’Toole (personal communication 7/14/04);2004;;;;Apidae;Xylocopa_rufa;Female;Female;nest plant association;;Mean;1000;;;;;Observed distance - not sure if mean or max;NA;
C. O’Toole (personal communication 7/14/04);2004;;;;Andrenidae;Andrena_flavipes;Female;Female;pollen mapping;;Mean;500;;;;;Observed distance - not sure if mean or max;NA;
C. O’Toole (personal communication 7/14/04);2004;;;;Apidae;Anthophora_fulvitarsis;Female;Female;pollen mapping;;Mean;1000;;;;;Observed distance - not sure if mean or max;NA;
C. O’Toole (personal communication 7/14/04);2004;;;;Apidae;Bombus_terrestris;Female;Female;pollen mapping;;Mean;2800;;;;;Observed distance - not sure if mean or max;NA;
Campbell A.J., Gomes R.L.C., da Silva K.C., Contrera F.A.L.;2019;South America;Brazil;tropical rainforest/urban;Apidae;Scaptotrigona_postica;Female;Female;homing;1407;max_50;392;;;17;;;max_90 refers to the range at which 90% return, and max_50 at which 50% return;species aff
Campbell A.J., Gomes R.L.C., da Silva K.C., Contrera F.A.L.;2019;South America;Brazil;tropical rainforest/urban;Apidae;Scaptotrigona_postica;Female;Female;homing;1407;max_90;860;;;27;;;Interestingly present the Greenleaf estimate and then their own results;species aff
Carreck et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;21;Max;550;;;;;Osborne et al (1999) A landscape scale investigation of bumble bee foraging range and constancy, using harmonic radar. Journal of Applied Ecology;Check source;
Carvell C., Jordan W.C., Bourke A.F.G., Pickles R., Redhead J.W., Heard M.S.;2012;Europe;England;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;66;Max;1579;;;;;;;
Carvell C., Jordan W.C., Bourke A.F.G., Pickles R., Redhead J.W., Heard M.S.;2012;Europe;England;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;66;Mean;755;;44,2;;;;;
Carvell C., Jordan W.C., Bourke A.F.G., Pickles R., Redhead J.W., Heard M.S.;2012;Europe;England;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;45;Max;1597;;;;;;;
Carvell C., Jordan W.C., Bourke A.F.G., Pickles R., Redhead J.W., Heard M.S.;2012;Europe;England;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;45;Mean;775;;65,6;;;;;
