Authors;Year;Region;Country;Habitat;Family;Genus_species;Sex;Sex_Imp;Metric;N;distance_type;Distance;SD;SE;CI_95;Foraging trips cease (km);Communication ceases (km);Notes;follow_up
Guedot C., Bosch J., Kemp W.P.;2009;North America;USA;Agriculture;Megachilidae;Osmia_lignaria;Female;Female;homing;30;Max;1200;;;;;;;
Haeseler (1982);1982;;;;Megachilidae;Osmia_maritima;NA;NA;NA;NA;Max;150;;;;;n.a. - german;no_access_LK;
Haeseler (1982) in Gathmann and Tscharntke (2002);1982;;;;Megachilidae;Osmia_maritima;NA;NA;NA;;Max;200;;;;;;no_access_LK;
Hagen M., Wikelski M., Kissling W.D.;2011;Europe;Germany;mixed rural;Apidae;Bombus_hortorum;Female_Queen;Female_Queen;tracking;3;Max;1316;;;;;;to check: Kreyer D, Oed A, Walther-Hellwig K, Frankl R (2004) Are forests potential landscape barriers for foraging bumblebees? Landscape scale experiments with Bombus terrestrisagg. and Bombus pascuorum (Hymenoptera, Apidae). Biological;
Hagen M., Wikelski M., Kissling W.D.;2011;Europe;Germany;mixed rural;Apidae;Bombus_ruderatus;Female;Female;tracking;1;Max;1943;;;;;;to check: Kreyer D, Oed A, Walther-Hellwig K, Frankl R (2004) Are forests potential landscape barriers for foraging bumblebees? Landscape scale experiments with Bombus terrestrisagg. and Bombus pascuorum (Hymenoptera, Apidae). Biological;
Hagen M., Wikelski M., Kissling W.D.;2011;Europe;Germany;mixed rural;Apidae;Bombus_terrestris;Female;Female;tracking;4;Max;2535;;;;;;to check: Kreyer D, Oed A, Walther-Hellwig K, Frankl R (2004) Are forests potential landscape barriers for foraging bumblebees? Landscape scale experiments with Bombus terrestrisagg. and Bombus pascuorum (Hymenoptera, Apidae). Biological;
Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.;2011;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;614;Max;3165;;;;;;2006;
Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.;2011;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;991;Max;5983;;;;;;2007;
Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.;2011;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;614;Mean;738,1;732;;;;;2006;
Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.;2011;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;991;Mean;864,9;919;;;;;2007;
Hembach (1993);1993;;;;Megachilidae;Hoplitis_adunca;NA;Female;host plant association;NA;Max;180;;;;;Foraging distance - german;no_access_LK;
Herrmann (1999);1999;;;;Megachilidae;Chelostoma_florisomne;NA;Female;homing;6;Max;2000;;;;;Homing distance - german;no_access_LK;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Chelostoma_rapunculi;Male;Male;mark recapture;;Max;119;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Chelostoma_rapunculi;Male;Male;mark recapture;;Mean;59;34,5;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_bicornis;Male;Male;mark recapture;;Max;151;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_bicornis;Male;Male;mark recapture;;Mean;100;40,3;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Male;Male;mark recapture;;Max;225;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Male;Male;mark recapture;;Max;215;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Male;Male;mark recapture;;Mean;96;39;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Male;Male;mark recapture;;Mean;77;52,5;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Chelostoma_florisomne;Female;Female;mark recapture;;Max;174;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Chelostoma_florisomne;Female;Female;mark recapture;;Mean;82;58,7;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Chelostoma_rapunculi;Female;Female;mark recapture;;Max;178;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Chelostoma_rapunculi;Female;Female;mark recapture;;Mean;104;45,2;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Heriades_truncorum;Female;Female;mark recapture;;Max;298;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Heriades_truncorum;Female;Female;mark recapture;;Mean;73;62,6;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Hoplitis_adunca;Female;Female;mark recapture;;Max;287;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Hoplitis_adunca;Female;Female;mark recapture;;Mean;112;77,3;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_bicornis;Female;Female;mark recapture;;Max;250;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_bicornis;Female;Female;mark recapture;;Mean;121;44,6;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Female;Female;mark recapture;;Max;724;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Female;Female;mark recapture;;Max;226;;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Female;Female;mark recapture;;Mean;106;107,5;;;;;;
Hofmann et al (2020);2020;Europe;Germany;urban;Megachilidae;Osmia_cornuta;Female;Female;mark recapture;;Mean;107;67,9;;;;;;
Jaffe et al. (2016);2016;South America;Brazil;Agriculture;Apidae;Trigona_spinipes;Female;Female;molecular;6;Max;8700;;;;;;;
Jaffe et al. (2016);2016;South America;Brazil;Agriculture;Apidae;Trigona_spinipes;Female;Female;molecular;6;Mean;1742;3419;;;;;;
Janzen (1971);1971;Central America;Costa Rica;lowland rainforest;Apidae;Eufriesea_surinamensis;Female;Female;homing;;Max;23000;;;;;;yes_pdf;
Jha S., Kremen C.;2013;North America;USA;Seminatural;Apidae;Bombus_vosnesenskii;Female;Female;molecular;60;Max;2783;;;;;;;
Jha S., Kremen C.;2013;North America;USA;Seminatural;Apidae;Bombus_vosnesenskii;Female;Female;molecular;60;Mean;600;;;;;;;
Kapyla (1978);1978;;;;Megachilidae;Chelostoma_florisomne;Male;Male;mark recapture;;Mean;100;;;;;Observed distance - not sure if mean or max;no_access_LK;
Kapyla (1978);1978;;;;Megachilidae;Chelostoma_florisomne;Female;Female;mark recapture;;Mean;300;;;;;Observed distance - not sure if mean or max;no_access_LK;
Kawamura (1954) in Kitamura (1969);1954;;;;Megachilidae;Osmia_pedicornis;NA;Female;homing;;Mean;500;;;;;Observed distance - not sure if mean or max;no_access_LK;
Kitamura (1969);1969;Asia;Japan;Agriculture;Megachilidae;Osmia_cornifrons;NA;Female;homing;;Max;800;;;;;;no_access_LK;
Kitamura (1969);1969;Asia;Japan;Agriculture;Megachilidae;Osmia_cornifrons;NA;Female;homing;;Typical;600;;;;;;no_access_LK;
Kitamura (1969);1969;;;;Megachilidae;Osmia_pedicornis;Female;Female;homing;;Mean;700;;;;;Observed distance - not sure if mean or max;no_access_LK;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;379;Max;1250;;;;;Maximum - largest distance with sister pair;yes_pdf;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;379;Mean;450;;;;;"""Minimum maximum""";yes_pdf;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;184;Max;1500;;;;;Maximum - largest distance with sister pair;yes_pdf;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;184;Mean;449;;;;;"""Minimum maximum""";yes_pdf;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_pratorum;Female;Female;molecular;203;Max;1500;;;;;Maximum - largest distance with sister pair;yes_pdf;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_pratorum;Female;Female;molecular;203;Mean;674;;;;;"""Minimum maximum""";yes_pdf;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;molecular;203;Max;1500;;;;;Maximum - largest distance with sister pair;yes_pdf;
Knight et al. (2005);2005;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;molecular;203;Mean;758;;;;;"""Minimum maximum""";yes_pdf;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;123;Max;296,65;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;110;Max;430,84;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;75;Max;975,36;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;92;Max;755,81;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;123;Mean;94,57;68,6859877;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;110;Mean;100,7;74,8710229;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;75;Mean;313,72;267,087894;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_cerana;Female;Female;waggle dance;92;Mean;128,98;134,486706;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;135;Max;2909,02;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;69;Max;388,34;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;109;Max;1423,94;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;60;Max;792,63;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;135;Mean;566,15;781,717234;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;69;Mean;204,87;77,4212409;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;109;Mean;315,1;249,74465;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_dorsata;Female;Female;waggle dance;60;Mean;240,96;160,819809;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;113;Max;1311,45;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;83;Max;2566,5;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;136;Max;870,37;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;40;Max;2113,43;;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;113;Mean;339,89;249,29232;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;83;Mean;180,06;401,42818;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;136;Mean;137,7;155,251053;;;;;;
Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.;2020;Asia;India;urban;Apidae;Apis_florea;Female;Female;waggle dance;40;Mean;286,7;406,365377;;;;;;
Kraus et al. (2009);2009;Europe;Germany;urban;Apidae;Bombus_terrestris;Male;Male;Density of worker- and/or drone-producing colonies;NA;Max;9900;;;;;Male flight distance;yes_pdf;
Kraus et al. (2009);2009;Europe;Germany;urban;Apidae;Bombus_terrestris;Male;Male;Density of worker- and/or drone-producing colonies;NA;Max;2600;;;;;Male flight distance - conservative;yes_pdf;
Kreyer et al. (2004);2004;Europe;Germany;forest grassland;Apidae;Bombus_pascuorum;Female;Female;nest plant association;;Max;800;;;;;;;
Kreyer et al. (2004);2004;Europe;Germany;forest grassland;Apidae;Bombus_terrestris;Female;Female;nest plant association;;Max;2200;;;;;;;
Kuhn-Neto et al. (2009);2009;South America;Brazil;Agriculture;Apidae;Melipona_mandacaia;Female;Female;feeder;;Max;2100;;;;;Large foragers - colony 1;yes_pdf;
Kuhn-Neto et al. (2009);2009;South America;Brazil;Agriculture;Apidae;Melipona_mandacaia;Female;Female;feeder;;Max;1840;;;;;Small foragers - colony 2;yes_pdf;
Kuhn-Neto et al. (2009);2009;South America;Brazil;Agriculture;Apidae;Melipona_mandacaia;Female;Female;feeder;;Max;1560;;;;;Small foragers - colony 3;yes_pdf;
Kuhn-Neto et al. (2009);2009;South America;Brazil;Agriculture;Apidae;Melipona_mandacaia;Female;Female;feeder;NA;Mean;1000;;;;;Large foragers - colony 1;yes_pdf;
Kuhn-Neto et al. (2009);2009;South America;Brazil;Agriculture;Apidae;Melipona_mandacaia;Female;Female;feeder;;Mean;500;;;;;Small foragers - colony 2;yes_pdf;
Kuhn-Neto et al. (2009);2009;South America;Brazil;Agriculture;Apidae;Melipona_mandacaia;Female;Female;feeder;;Mean;600;;;;;Small foragers - colony 3;yes_pdf;
Lepais O., Darvill B., O'Connor S., Osborne J.L., Sanderson R.A., Cussans J., Goffe L., Goulson D.;2010;Europe;UK;Agriculture;Apidae;Bombus_lapidarius;Female_Queen;Female_Queen;molecular;9;Median;1820,4;;;;;;;
Lepais O., Darvill B., O'Connor S., Osborne J.L., Sanderson R.A., Cussans J., Goffe L., Goulson D.;2010;Europe;UK;Agriculture;Apidae;Bombus_pascuorum;Female_Queen;Female_Queen;molecular;177;Median;1265;;;;;;;
Linsley and McSwain (1942);1942;North America;USA;NA;Apidae;Anthophora_linsleyi;Female;Female;pollen mapping;;Mean;1600;;;;;The females… a factor which necessitated a flight of more than a mile from the nesting region;yes_pdf;
Makinson J.C., Woodgate J.L., Reynolds A., Capaldi E.A., Perry C.J., Chittka L.;2019;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female_Queen;Female_Queen;tracking;20;Max;600;;;;;;;
Menke (1954);1954;;;;Halictidae;Nomia_melanderi;Female;Female;NFA;;Mean;1600;;;;;Observed distance - not sure if mean or max;no_access_LK;
Michener (1974);1974;;;;Apidae;Apis_cerana;Female;Female;feeder;;Max;800;;;;;700;no_access_LK;ss indica
Michener (1974);1974;;;;Apidae;Apis_mellifera;Female;Female;feeder;;Max;12000;;;;;11000;no_access_LK;
Michener (1974);1974;;;;Apidae;Apis_mellifera;Female;Female;feeder;;Max;2800;;;;;2400;no_access_LK;ss adansonii
Michener (1974);1974;;;;Apidae;Apis_mellifera;Female;Female;feeder;;Max;2500;;;;;2400;no_access_LK;ss  mellifera
Michener (1974);1974;;;;Apidae;Heterotrigona_iridipennis;Female;Female;feeder;;Max;100;;;;;100;no_access_LK;
Michener (1974);1974;;;;Apidae;Plebeia_mosquito;Female;Female;feeder;;Max;500;;;;;300;no_access_LK;
Michener (1974);1974;;;;Apidae;Trigona_amalthea;Female;Female;feeder;;Max;1000;;;;;800;no_access_LK;
Michener (1974);1974;;;;Apidae;Trigona_spinipes;Female;Female;feeder;;Max;800;;;;;600;no_access_LK;
Mola J.M., Miller M.R., O'Rourke S.M., Williams N.M.;2020;North America;USA;montane;Apidae;Bombus_vancouverensis;Female;Female;molecular;39;Max;726;;;;;;"in my study B. vancouverensis is ""B. bifarius"" but it has since been split";
Mola J.M., Miller M.R., O'Rourke S.M., Williams N.M.;2020;North America;USA;montane;Apidae;Bombus_vancouverensis;Female;Female;molecular;39;Mean;95,8;103;;;;;"in my study B. vancouverensis is ""B. bifarius"" but it has since been split";
Mola J.M., Miller M.R., O'Rourke S.M., Williams N.M.;2020;North America;USA;montane;Apidae;Bombus_vosnesenskii;Female;Female;molecular;66;Max;3709;;;;;;;
Mola J.M., Miller M.R., O'Rourke S.M., Williams N.M.;2020;North America;USA;montane;Apidae;Bombus_vosnesenskii;Female;Female;molecular;66;Mean;448;546;;;;;;
Molitor (1937);1937;;;;Megachilidae;Rhodanthidium_septemdentatum;Female;Female;homing;NA;Max;1200;;;;;Homing distance;no_access_LK;
Molitor (1937);1937;;;;Megachilidae;Hoplitis_anthocopoides;Female;Female;homing;NA;Max;150;;;;;Homing distance;no_access_LK;
Molitor (1937) in Gathmann and Tscharntke (2002);1937;;;;Megachilidae;Hoplitis_anthocopoides;Female;Female;NA;;Max;200;;;;;;no_access_LK;
Molitor (1937) in Gathmann and Tscharntke (2002);1937;;;;Megachilidae;Osmia_mustelina;Female;Female;NA;;Max;1000;;;;;;no_access_LK;
Molitor (1937) in Gathmann and Tscharntke (2002);2002;;;;Apidae;Xylocopa_violacea;Female;Female;NA;;Max;1200;;;;;;no_access_LK;
Munster-Swendsen (1968);1968;;;;Andrenidae;Panurgus_banksianus;Female;Female;nest plant association;;Mean;300;;;;;Observed distance - not sure if mean or max;no_access_LK;
Münster-Swendsen (1968);1968;;;;Andrenidae;Panurgus_banksianus;NA;NA;NA;NA;Max;250;;;;;n.a.;no_access_LK;
Neff and Danforth (1991);1991;North America;USA;woodland grassland;Andrenidae;Macrotera_texana;Female;Female;mark recapture;;Max;190;;;;;Max - diameter of foraging range;yes_pdf;
Nieh and Roubik (1995);1995;Central America;Panama;forest;Apidae;Melipona_panamica;Female;Female;feeder;;Mean;100;;;;;feeder only at 100m;yes_pdf;
Nunes-Silva P., Costa L., Campbell A.J., Arruda H., Contrera F.A.L., Teixeira J.S.G., Gomes R.L.C., Pessin G., Pereira D.S., de Souza P., Imperatriz-Fonseca V.L.;2019;South America;Brazil;urban - forest;Apidae;Melipona_fasciculata;Female;Female;homing;13 or 45 * 13;Mean;2500;;;;;;;
Nunes-Silva P., Costa L., Campbell A.J., Arruda H., Contrera F.A.L., Teixeira J.S.G., Gomes R.L.C., Pessin G., Pereira D.S., de Souza P., Imperatriz-Fonseca V.L.;2019;South America;Brazil;urban - forest;Apidae;Melipona_fasciculata;Female;Female;homing;13 or 45 * 13;Max;10000;;;;;;;
Osborne et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;30;Max;556;;;;;Max range - August;yes_pdf;
Osborne et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;65;Max;631;;;;;Max range - June;yes_pdf;
Osborne et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;30;Mean;201;;18,7;;;Mean max - August;yes_pdf;
Osborne et al. (1999);1999;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;65;Mean;339;;26,2;;;Mean max - June;yes_pdf;
Osborne et al. (2008);2008;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;mark recapture;297;Max;1625;;;;;Max distance;yes_pdf;
Osborne J.L., Smith A., Clark S.J., Reynolds D.R., Barron M.C., Lim K.S., Reynolds A.M.;2013;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;28;Median;297,24;;;;;;1st trip;
Osborne J.L., Smith A., Clark S.J., Reynolds D.R., Barron M.C., Lim K.S., Reynolds A.M.;2013;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;28;Median;688,85;;;;;;2nd trip;
Osborne J.L., Smith A., Clark S.J., Reynolds D.R., Barron M.C., Lim K.S., Reynolds A.M.;2013;Europe;UK;Agriculture;Apidae;Bombus_terrestris;Female;Female;tracking;28;Median;690,85;;;;;;3rd trip;
Packer (1970);1970;North America;USA;Agriculture;Megachilidae;Megachile_rotundata;NA;Female;homing;;Max;700;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;North America;USA;Agriculture;Megachilidae;Megachile_rotundata;NA;Female;homing;;Typical;1400;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Megachilidae;Megachile_rotundata;Female;Female;NFA;;Mean;20;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Halictidae;Nomia_melanderi;Female;Female;NFA;;Mean;7100;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Megachilidae;Megachile_rotundata;Female;Female;pollen mapping;;Mean;1800;;;;;Thesis - no access;no_access_LK;
Packer (1970);1970;;;;Halictidae;Nomia_melanderi;Female;Female;pollen mapping;;Mean;1800;;;;;Thesis - no access;no_access_LK;
Pahl M., Zhu H., Tautz J., Zhang S.;2011;Australia;Australia;mixed;Apidae;Apis_mellifera;Female;Female;homing;20;Max;11000;;;;;;;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;homing;22;Max;10000;;;;;Homing distance;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;28;Max;6040;;;;;Kaskazi many flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;31;Max;5000;;;;;Kusi sunny;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;34;Max;2340;;;;;Kaskazi few flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;41;Max;1390;;;;;Kusi rainy;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;28;Mean;2092;;;;;Kaskazi many flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;31;Mean;887;;;;;Kusi sunny;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;34;Mean;759;;;;;Kaskazi few flowers;yes_pdf;
Pasquet et al. (2008);2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;41;Mean;585;;;;;Kusi rainy;yes_pdf;
Pasquet R.S., Peltier A., Hufford M.B., Oudin E., Saulnier J., Paul L., Knudsen J.T., Herren H.R., Gepts P.;2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;134;Max;6040;;;;;;;
Pasquet R.S., Peltier A., Hufford M.B., Oudin E., Saulnier J., Paul L., Knudsen J.T., Herren H.R., Gepts P.;2008;Africa;Kenya;Agriculture;Apidae;Xylocopa_flavorufa;Female;Female;tracking;134;Median;720;;;;;;;
Rao S., Hoffman G., Kirby J., Horne D.;2019;North America;USA;urban;Apidae;Bombus_vosnesenskii;Female;Female;homing;210;Max;16000;;;;;;;
Rao S., Strange J.P.;2012;North America;USA;Agriculture;Apidae;Bombus_vosnesenskii;Female;Female;molecular;4;Mean;2210;;;;;;;
Rao S., Strange J.P.;2012;North America;USA;Agriculture;Apidae;Bombus_vosnesenskii;Female;Female;molecular;4;Mean;4790;;;;;;;
Rau (1929);1929;North America;USA;wooded hills/open fields;Apidae;Anthophora_abrupta;Female;Female;homing;66;Max;12500;;;;;;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Anthophora_abrupta;Female;Female;homing;;Max;2300;;;;;;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Anthophora_abrupta;Female;Female;homing;;Typical;500;;;;;;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Xylocopa_virginica;Female;Female;homing;;Max;13000;;;;;7.75 miles;yes_pdf;
Rau (1929, 1931);1931;North America;USA;wooded hills/open fields;Apidae;Xylocopa_virginica;Female;Female;homing;;Typical;7500;;;;;;yes_pdf;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_hortorum;Female;Female;molecular;48;Max;810;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_hortorum;Female;Female;molecular;48;Mean;273;;20,15;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;271;Max;2059;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_lapidarius;Female;Female;molecular;271;Mean;536;;16,02;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;123;Max;1808;;;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_pascuorum;Female;Female;molecular;123;Mean;337;;19,92;;;;;
Redhead J.W., Dreier S., Bourke A.F.G., Heard M.S., Jordan W.C., Sumner S., Wang J., Carvell C.;2016;Europe;UK;Agriculture;Apidae;Bombus_ruderatus;Female;Female;molecular;42;Max;2350;;;;;;;
