Id,Genus,Subgenus,Specific epithet ,Location of measured specimen,Country,New record ,State ,Municipality,Day ,Month,Year,Location ,Sampling point,ITD,ITD average,Sex,Collector,Collection ID
979,Melipona,Michmelia,flavolineata,MPEG,Brasil,yes,Amazonas,Coari,20,vi,2003,Coari,NA,2.9,NA,Female,Guimarães D.,NA
980,Melipona,Michmelia,flavolineata,MPEG,Brasil,no,Pará,Aveiro,26,ix,2009,NA,NA,2.9,NA,Female,"OT Silveira, SS Silva, J Pena",NA
981,Melipona,Michmelia,fuliginosa,MPEG,Brasil,no,Pará,Parauapebas,21,vi,1986,Serra Norte,fofoca,4,3.9,Female,W França,MPEG-HYM11002804
982,Melipona,Michmelia,fuliginosa,MPEG,Brasil,no,Pará,Parauapebas,18,x,1984,Serra Norte,pojuca,3.8,NA,Female,NA,MPEG-HYM11002806
983,Melipona,Michmelia,fuliginosa,MPEG,Brasil,no,Pará,Bujaru,5,x,1977,NA,NA,3.9,NA,Female,P Waldir,MPEG-HYM11134277
984,Melipona,Michmelia,fuliginosa,MPEG,Brasil,no,Rondônia,Ouro Preto do Oeste,1,iv,1985,NA,NA,3.8,NA,Female,W França,MPEG-HYM11134926
985,Melipona,Michmelia,fuliginosa,MPEG,Brasil,no,Amapá,Serra do Navio,15,v,1984,NA,NA,3.9,NA,Female,IS Gorayeb,MPEG-HYM11134800
986,Melipona,Michmelia,fulva,MPEG,Brasil,no,Pará,Parauapebas,7,ix,1983,Serra Norte,Estrada Serraria,3.1,3.1,Female,FF Ramos,MPEG HYM 11002807
987,Melipona,Michmelia,fulva,MPEG,Brasil,no,Pará,Anajás,7,xii,1982,NA,NA,3.2,NA,Female,WL Overal,MPEG HYM 11134298
988,Melipona,Michmelia,fulva,MPEG,Brasil,no,Amapá,Mazagão,9,xi,1978,Fazendinha,NA,3,NA,Female,FF Ramos,MPEG HYM 11134305
989,Melipona,Michmelia,fulva,MPEG,French Guiana,no,Kourou,NA,NA,v,1982,NA,NA,3,NA,Female,D Roubik,MPEG HYM 11134296
990,Melipona,Michmelia,fulva,MPEG,Brasil,no,Pará,Óbidos,26,vii,1902,NA,NA,3.1,NA,Female,A Ducke,MPEG HYM 11134293
991,Melipona,Michmelia,melanoventer,MPEG,Brasil,no,Pará,Vigia,9,xii,1988,NA,NA,3,3,Female,IS Gorayeb,MPEG-HYM11134348
992,Melipona,Michmelia,melanoventer,MPEG,Brasil,no,Pará,Parauapebas,15,viii,1984,Serra Norte,pojuca,3,NA,Female,W França,MPEG-HYM1102836
993,Melipona,Michmelia,melanoventer,MPEG,Brasil,no,Pará,Parauapebas,18,ii,1985,Serra Norte,Manganês,3.2,NA,Female,W França,MPEG-HYM11002831
994,Melipona,Michmelia,melanoventer,MPEG,Brasil,no,Pará,Parauapebas,7,ix,1985,Serra Norte,Caldeirão,3,NA,Female,NA,MPEG-HYM11002842
995,Melipona,Michmelia,melanoventer,MPEG,Brasil,no,Pará,Parauapebas,21,x,1984,Serra Norte,Serraria,3,NA,Female,NA,MPEG-HYM11002829
996,Melipona,Michmelia,seminigra pernigra,MPEG,Brasil,no,Pará,Parauapebas,9,v,1984,Serra Norte,N1-campo,3,2.9,Female,NA,MPEG-HYM11002903
997,Melipona,Michmelia,seminigra pernigra,MPEG,Brasil,no,Pará,Parauapebas,29,x,1983,Serra Norte,fofoca,2.7,NA,Female,IS Gorayeb,MPEG-HYM11002898
998,Melipona,Michmelia,seminigra pernigra,MPEG,Brasil,no,Pará,Parauapebas,21,ix,1985,Serra Norte,Manganês,3,NA,Female,FF Ramos,MPEG-HYM11002895
999,Melipona,Michmelia,seminigra pernigra,MPEG,Brasil,no,Pará,Parauapebas,16,ix,1985,Serra Norte,Caldeirão,3,NA,Female,J Dias,MPEG-HYM11002901
1000,Melipona,Michmelia,seminigra pernigra,MPEG,Brasil,no,Pará,Parauapebas,24,vi,1985,Serra Norte,pojuca,3,NA,Female,FF Ramos,MPEG-HYM11002900
1001,Melissodes,Ecplectica,nigroaenea,UFMG,Brasil,no,Minas Gerais,Brumadinho,27,iii,1999,NA,NA,2.8,2.8,Female,NA,UFMG IHY 9311
1002,Melissodes,Ecplectica,sexcincta,UFMG,Brasil,no,Minas Gerais,NA,26,iii,1996,NA,NA,2.8,2.8,Male,Y.Antonini,UFMGIHY575
1003,Melissodes,Ecplectica,sexcincta,UFMG,Brasil,no,Minas Gerais,NA,1,iv,1996,NA,NA,2.8,NA,Male,Y.Antonini,UFMGIHY601
1004,Melissodes,Ecplectica,sexcincta,UFMG,Brasil,no,Minas Gerais,Brumadinho,14,iii,1999,NA,NA,2.7,NA,Male,NA,UFMG IHY 9276
1005,Melissodes,Ecplectica,sexcincta,UFMG,Brasil,no,Minas Gerais,Brumadinho,27,iii,1999,NA,NA,3,NA,Female,NA,UFMG IHY 9309
1006,Melissodes,Ecplectica,sexcincta,UFMG,Brasil,no,Minas Gerais,Brumadinho,27,iii,1999,NA,NA,2.8,NA,Male,NA,UFMG IHY 9310
1007,Melissoptila,NA,cnecomala,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,18,vi,1998,estação ecologica,NA,2.3,2.3,Female,D.A.Yanega,3021-8923
1008,Melissoptila,NA,cnecomala,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,1,iv,1998,Campus UFMG,NA,2.2,NA,Female,D.A.Yanega,2988-8858
1009,Melissoptila,NA,cnecomala,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,27,vii,1997,estação ecologica,NA,2.3,NA,Female,D.A.Yanega,3356-9874
1010,Melissoptila,NA,cnecomala,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,24,iv,1997,mus hist nat,NA,2.2,NA,Female,R.M.Carmo,1321-3381
1011,Melissoptila,NA,cnecomala,UFMG,Brasil,no,Minas Gerais,Paraopeba,20,iv,1997,Ch. Do Lessa,NA,2.3,NA,Female,E.A.B.Almeida,1701-4701
1012,Melissoptila,NA,vulpecula,UFMG,Brasil,no,Minas Gerais,Brumadinho,30,iv,1999,NA,NA,2.2,2.2,Female,NA,UFMG IHY 10296
