Id,Genus,Subgenus,Specific epithet ,Location of measured specimen,Country,New record ,State ,Municipality,Day ,Month,Year,Location ,Sampling point,ITD,ITD average,Sex,Collector,Collection ID
1,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Catas altas,8,i,1999,Serra do Caraça,NA,1.6,1.8,Male,F. A. Silveira,NA
2,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Brumadinho,29,iii,1998,Serra da Moeda,NA,2,NA,Female,F. A. Silveira,NA
3,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,1.7,NA,Male,R. M.Carmo,UFMG-IHY 1312567
4,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Catas altas,8,i,1999,Serra do Caraça,NA,1.5,NA,Male,F. A. Silveira,NA
5,Acamptopoeum,NA,prinii,UFMG,Brasil,no,Minas Gerais,Nova Lima,22,i,1998,Zona metalurgica,NA,2,NA,Female,E.A.B.Almeida,1992-6081
6,Acanthopus,NA,palmatus,MPEG,Brasil,no,Pará,Benevides,29,vii,1981,NA,NA,5,5.1,Female,CN Arcanjo,MPEG-HYM11131016
7,Acanthopus,NA,palmatus,MPEG,Brasil,no,Pará,Bujaru,29,xii,1983,NA,NA,5.3,NA,Female,LB Albuquerque,MPEG-HYM11131015
8,Acanthopus,NA,palmatus,MPEG,Brasil,no,Pará,Parauapebas,21,vi,1985,Serra Norte,pojuca,4.8,NA,Male,J Dias,MPEG-HYM11131013
9,Acanthopus,NA,palmatus,MPEG,Brasil,yes,Goiás,São Domingos,27,ix,1993,NA,NA,5.3,NA,Female,D Pimentel,MPEG-HYM11131021
10,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2.3,2.2,Female,NA,UFMG IHY 33820
11,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Brumadinho,26,iv,1998,NA,NA,2.2,NA,Female,E.A.B.Almeida; Guimarães,UFMG IHY 7058
12,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,São Gonçalo do Rio Abaixo,17,i,2004,NA,NA,2.1,NA,Female,C.F.Cardoso,UFMG IHY 29194
13,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2,NA,Female,NA,UFMG IHY 33838
14,Agapostemon,Notagapostemon,chapadensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2.4,NA,Female,NA,UFMG IHY 33848
15,Aglae,NA,caerulea,UFMG,Brasil,yes,Rondônia,Porto Velho,5,xii,2011,Vila do Teotônio,NA,4.9,5.1,Female,J.E.Santos Jr,25889-76212
16,Aglae,NA,caerulea,UFMG,Brasil,yes,Mato Grosso,Serra de São Vicente,6,xii,2012,NA,NA,5,NA,Male,M.P.Guimarães,UFMG IHY 1403210
17,Aglae,NA,caerulea,UFMG,Brasil,no,Pará,Parauapebas,30,i,2009,Serra Norte,NA,4.7,NA,Male,L.Bandeira,UFMG IHY 1318376
18,Aglae,NA,caerulea,UFMG,Brasil,yes,Rondônia,Chupinguaia,10,i,2011,modulo 3 parcela 3,NA,5.4,NA,Female,R.M.C.Silveira,UFMG 53251
19,Aglae,NA,caerulea,UFMG,Brasil,no,Pará,Parauapebas,30,i,2009,Serra Norte,NA,5.7,NA,Female,F.A.Silveira,UFMG IHY 1318377
20,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,2.6,2.5,Female,A. Cordeiro,UFMG-IHY 1500920
21,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,2.3,NA,Female,A. Cordeiro,UFMG-IHY 1500921
22,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Pará,Canaã dos Carajás,14,ii,2015,NA,NA,2.6,NA,Female,A. Cordeiro,UFMG-IHY 1500891
23,Alepidosceles,NA,imitatrix,UFMG,Brasil,yes,Bahia,Barreiras,8,v,2005,NA,NA,2.5,NA,Female,J. Batista,UFMG-IHY 1523273
24,Alepidosceles,NA,imitatrix,UFMG,Brasil,no,Mato Grosso,Rondonópolis,17,ii,2005,NA,NA,2.3,NA,Female,C.S.S.Pires,UFMG-IHY 1523405
25,Ancyloscelis,NA,apiformis,UFMG,Brasil,no,Pará,Canaã dos Carajás,20,vi,2013,NA,NA,2.7,2,Female,R.B.Martines,UFMG-IHY 1313334
26,Ancyloscelis,NA,apiformis,UFMG,Brasil,no,Pará,Canaã dos Carajás,22,vi,2013,NA,NA,2,NA,Female,R.M. Carmo,UFMG-IHY 1313564
27,Ancyloscelis,NA,apiformis,UFMG,Brasil,no,Pará,Canaã dos Carajás,20,vi,2013,NA,NA,1.8,NA,Male,R.B.Martines,UFMG-IHY 1313333
28,Ancyloscelis,NA,apiformis,UFMG,Brasil,yes,Minas Gerais,Nova Lima,5,iii,1999,NA,NA,1.8,NA,Male,M. Pompeu,NA
29,Ancyloscelis,NA,apiformis,UFMG,Brasil,yes,Minas Gerais,Nova Lima,10,iv,1999,NA,NA,1.8,NA,Male,M. Pompeu,NA
30,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Paraná,Ponta Grossa,23,xi,2001,NA,NA,3.8,3.6,Female,E.A.B.Almeida,UFMG IHY 23176
31,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Camanducaia,12,v,2004,NA,NA,3.8,NA,Female,F.A.Silveira,UFMG IHY 32201
32,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Camanducaia,12,v,2004,NA,NA,3.6,NA,Female,F.A.Silveira,UFMG IHY 32201
33,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Camanducaia,12,v,2004,NA,NA,3.5,NA,Female,F.A.Silveira,UFMG IHY 32209
34,Anthophora,Mystacanthophora,paranensis,UFMG,Brasil,no,Minas Gerais,Brumadinho,21,xii,2011,NA,NA,3.5,NA,Female,NA,UFMG-IHY 1414532
35,Aparatrigona,NA,impunctata,MPEG,Brasil,no,Pará,Parauapebas,6,ix,1985,Serra Norte,Manganês,1.5,1.5,Female,FF Ramos,MPEG-HYM11003519
36,Aparatrigona,NA,impunctata,MPEG,Brasil,no,Pará,Belém,17,vi,1983,Floresta APEG,NA,1.6,NA,Female,IS Gorayeb,MPEG03016662
37,Aparatrigona,NA,impunctata,MPEG,Brasil,yes,Maranhão,Imperatriz,2,viii,1989,Ribeirãozinho,NA,1.6,NA,Female,FF Ramos,MPEG03016675
38,Aparatrigona,NA,impunctata,MPEG,Brasil,no,Acre,Porto Acre,15,vi,1992,Humaitá,NA,1.5,NA,Female,"Gorayeb, Pena, Henriques, Edmar",MPEG03016668
39,Aparatrigona,NA,impunctata,MPEG,Brasil,no,Pará,Primavera,22,iii,1992,Boa Vista,NA,1.5,NA,Female,J Dias,MPEG03016672
40,Apis,NA,mellifera,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Arhysoceble,NA,dichroopoda,UFMG,Brasil,no,Minas Gerais,Nova Lima,29,xi,1998,NA,NA,2,2,Female,M.Pompeu,3716-10742
42,Arhysoceble,NA,dichroopoda,UFMG,Brasil,no,Minas Gerais,Nova Lima,19,ix,1998,NA,NA,2.2,NA,Female,M.Pompeu,353x7-1038x4
43,Arhysoceble,NA,dichroopoda,UFMG,Brasil,no,Minas Gerais,Nova Lima,19,ix,1998,NA,NA,2,NA,Female,M.Pompeu,353x2-1037x9
44,Arhysoceble,NA,dichroopoda,UFMG,Brasil,no,Minas Gerais,Nova Lima,16,xi,2004,NA,NA,2.1,NA,Female,M.A.N.Jacobi,11399-33876
45,Arhysoceble,NA,dichroopoda,UFMG,Brasil,no,Minas Gerais,Nova Lima,16,xi,2004,NA,NA,1.9,NA,Female,M.F.Goulart,11395-33872
46,Augochlora,Augochlora,amphitrite,UFMG,Brasil,no,Minas Gerais,Sabará,24,xi,1996,NA,NA,1.8,1.7,Female,F.A.Silveira,UFMG IHY 1602
47,Augochlora,Augochlora,amphitrite,UFMG,Brasil,no,Minas Gerais,São Gonçalo do Rio Abaixo,28,iii,2002,NA,NA,1.8,NA,Female,C.F.Cardoso,UFMG IHY 1602
48,Augochlora,Augochlora,amphitrite,UFMG,Brasil,no,Minas Gerais,Nova Lima,3,xi,2011,NA,NA,1.6,NA,Female,NA,UFMG IHY 74144
49,Augochlora,Augochlora,amphitrite,UFMG,Brasil,no,Minas Gerais,Nova Lima,3,xi,2011,NA,NA,1.8,NA,Female,NA,UFMG IHY 74145
50,Augochlora,Augochlora,amphitrite,UFMG,Brasil,no,Minas Gerais,Brumadinho,14,xii,2011,NA,NA,1.7,NA,Female,NA,UFMG IHY 1414211
51,Augochlora,Augochlora,esox,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,1,xii,1995,NA,NA,1.7,1.7,Female,F.A.Silveira,UFMG IHY157
52,Augochlora,Augochlora,esox,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,13,i,1996,NA,NA,1.9,NA,Female,F.A.Silveira,UFMG IHY 210
53,Augochlora,Augochlora,esox,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,22,i,1996,NA,NA,1.7,NA,Female,Y.Antonini,UFMG IHY 416
54,Augochlora,Augochlora,esox,UFMG,Brasil,yes,Minas Gerais,Sabará,20,ii,1996,NA,NA,1.7,NA,Female,F.A.Silveira,UFMG IHY 474
55,Augochlora,Augochlora,esox,UFMG,Brasil,yes,Minas Gerais,Nova Lima,21,i,2012,NA,NA,1.6,NA,Female,NA,UFMG IHY 74793
56,Augochlora,Augochlora,foxiana,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,13,i,1996,NA,NA,2,2,Female,F.A.Silveira,UFMG IHY 212
57,Augochlora,Augochlora,foxiana,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,10,ix,1996,NA,NA,2.1,NA,Female,Y.Antonini,UFMGIHY1171
58,Augochlora,Augochlora,foxiana,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,6,xii,1996,NA,NA,2,NA,Female,Y.Antonini,UFMGIHY1780
59,Augochlora,Augochlora,foxiana,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,8,i,1997,NA,NA,1.9,NA,Female,R.M.Carmo,UFMGIHY2179
60,Augochlora,Augochlora,foxiana,UFMG,Brasil,yes,Minas Gerais,Nova Lima,5,iii,1999,NA,NA,2.1,NA,Female,NA,UFMG IHY 12541
61,Augochlora,Augochlora,tantilla,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,6,xi,1996,NA,NA,1.5,1.4,Female,J.Damasceno,UFMGIHY1484
62,Augochlora,Augochlora,tantilla,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,22,i,1997,NA,NA,1.2,NA,Female,R.M.Carmo,UFMGIHY2523
63,Augochlora,Augochlora,tantilla,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,13,iii,1997,NA,NA,1.2,NA,Female,J.Damasceno,UFMGIHY2832
64,Augochlora,Augochlora,tantilla,UFMG,Brasil,yes,Minas Gerais,Nova Lima,23,xii,2011,NA,NA,1.5,NA,Female,NA,UFMG IHY 1414683
65,Augochlora,Augochlora,tantilla,UFMG,Brasil,yes,Minas Gerais,Nova Lima,27,xii,2011,NA,NA,1.4,NA,Female,NA,UFMG IHY 1414730
66,Augochlora,Oxystoglossella,morrae,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,13,i,1996,NA,NA,1.4,1.4,Female,F.A.Silveira,UFMGIHY190
67,Augochlora,Oxystoglossella,morrae,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,13,i,1996,NA,NA,1.3,NA,Female,F.A.Silveira,UFMGIHY191
68,Augochlora,Oxystoglossella,morrae,UFMG,Brasil,yes,Minas Gerais,Nova Lima,23,i,1999,NA,NA,1.4,NA,Female,NA,UFMG IHY 12325
69,Augochlora,Oxystoglossella,morrae,UFMG,Brasil,yes,Minas Gerais,Nova Lima,5,iii,1999,NA,NA,1.4,NA,Female,NA,UFMG IHY 12540
70,Augochlora,Oxystoglossella,morrae,UFMG,Brasil,yes,Minas Gerais,Nova Lima,18,iii,1999,NA,NA,1.5,NA,Female,NA,UFMG IHY 12693
71,Augochlorella,NA,acarinata,UFMG,Brasil,no,Minas Gerais,Nova Lima,9,i,1999,NA,NA,1.4,1.4,Female,M. pompeu,4313-12228
72,Augochlorella,NA,acarinata,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,25,iii,1998,NA,NA,1.4,NA,Female,Carmo e Almeida,2060-6391
73,Augochlorella,NA,acarinata,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,29,xi,1996,NA,NA,1.3,NA,Female,E.A.B. Almeida,0773-1904
74,Augochlorella,NA,acarinata,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,13,i,1996,NA,NA,1.4,NA,Female,F.A. Silveira,0050-0192
75,Augochlorella,NA,acarinata,UFMG,Brasil,yes,Mato Grosso,Primavera do leste,11,vii,2005,NA,NA,1.3,NA,Female,F.A. Silveira,UFMG IHY 1523511
76,Augochloropsis,NA,brachycephala,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,29,ix,1995,NA,NA,1.7,1.7,Female,F.A.Silveira,UFMGIHY80
77,Augochloropsis,NA,brachycephala,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,25,x,1995,NA,NA,1.8,NA,Female,F.A.Silveira,UFMGIHY105
78,Augochloropsis,NA,brachycephala,UFMG,Brasil,no,Minas Gerais,Sabará,31,iii,1996,NA,NA,1.7,NA,Female,F.A.Silveira,UFMGIHY611
79,Augochloropsis,NA,brachycephala,UFMG,Brasil,no,Minas Gerais,Sabará,7,iv,1996,NA,NA,1.7,NA,Female,F.A.Silveira,UFMGIHY641
80,Augochloropsis,NA,brachycephala,UFMG,Brasil,no,Minas Gerais,Nova Lima,29,viii,1998,NA,NA,1.8,NA,Female,NA,UFMG IHY 7715
81,Augochloropsis,NA,callichroa,UFMG,Brasil,yes,Pará,Canaã dos Carajás,7,vi,2010,NA,NA,2.1,1.9,Female,R.R. Ferrari,UFMG-IHY 1315709
82,Augochloropsis,NA,callichroa,UFMG,Brasil,yes,Pará,Canaã dos Carajás,27,iv,2010,NA,NA,1.9,NA,Female,R.C.Santos,UFMG-IHY 1313837
83,Augochloropsis,NA,callichroa,UFMG,Brasil,yes,Pará,Canaã dos Carajás,28,iv,2010,NA,NA,1.9,NA,Female,F.A.Silveira,UFMG-IHY 1313704
84,Augochloropsis,NA,callichroa,UFMG,Brasil,yes,Minas Gerais,Janaubá,11,iv,1998,NA,Margem do Rio Gorutuba,1.9,NA,Female,G.A.R. Melo,NA
85,Augochloropsis,NA,callichroa,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,2,iv,1997,NA,NA,1.8,NA,Female,J.C. Moreira,NA
86,Augochloropsis,NA,cleopatra,UFMG,Brasil,yes,Minas Gerais,Brumadinho,27,xii,1997,NA,NA,2.2,2.2,Female,NA,UFMG IHY 5496
87,Augochloropsis,NA,cleopatra,UFMG,Brasil,yes,Minas Gerais,Nova Lima,3,xi,2011,NA,NA,2.2,NA,Female,NA,UFMG IHY 74025
88,Augochloropsis,NA,cleopatra,UFMG,Brasil,yes,Minas Gerais,Nova Lima,3,xi,2011,NA,NA,2.2,NA,Female,NA,UFMG IHY 74026
89,Augochloropsis,NA,cleopatra,UFMG,Brasil,yes,Minas Gerais,Nova Lima,12,xii,2011,NA,NA,2.2,NA,Female,NA,UFMG IHY 74736
90,Augochloropsis,NA,electra,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,29,ix,1995,NA,NA,2.3,2.2,Female,F.A.Silveira,UFMGIHY78
91,Augochloropsis,NA,electra,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,29,ix,1995,NA,NA,2.2,NA,Female,F.A.Silveira,UFMGIHY79
92,Augochloropsis,NA,electra,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,21,ix,1996,NA,NA,2,NA,Female,Y.Antonini,UFMGIHY1192
93,Augochloropsis,NA,electra,UFMG,Brasil,yes,Minas Gerais,Sabará,24,xi,1996,NA,NA,2.1,NA,Female,F.A.Silveira,UFMGIHY1615
94,Augochloropsis,NA,electra,UFMG,Brasil,yes,Minas Gerais,Nova Lima,14,iii,2012,NA,NA,2.2,NA,Female,NA,UFMG IHY 75494
95,Augochloropsis,NA,hebescens,UFMG,Brasil,no,Pará,Água Azul do Norte,2,iv,2015,NA,NA,2.9,2.9,Female,R.B.Martines; A.Cordeiro,UFMGIHY1516175
96,Augochloropsis,NA,hebescens,UFMG,Brasil,no,Pará,Água Azul do Norte,20,viii,2015,NA,NA,2.7,NA,Female,R.B.Martines; A.Cordeiro,UFMGIHY1524222
97,Augochloropsis,NA,hebescens,UFMG,Brasil,no,Pará,Água Azul do Norte,20,viii,2015,NA,NA,2.9,NA,Female,R.B.Martines; A.Cordeiro,UFMGIHY1524223
98,Augochloropsis,NA,hebescens,UFMG,Brasil,no,Pará,Canaã dos Carajás,11,ii,2015,NA,NA,2.9,NA,Female,NA,UFMG IHY 1500620
99,Augochloropsis,NA,iris,UFMG,Brasil,no,Minas Gerais,Nova Lima,9,i,1999,NA,NA,2.6,2.5,Female,NA,UFMG IHY 12234
100,Augochloropsis,NA,iris,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2.7,NA,Female,NA,UFMG IHY 33824
101,Augochloropsis,NA,iris,UFMG,Brasil,no,Minas Gerais,Brumadinho,12,xii,1997,NA,NA,2.5,NA,Female,NA,UFMGIHY5199
102,Augochloropsis,NA,iris,UFMG,Brasil,no,Minas Gerais,Ouro Preto,6,ii,1999,NA,NA,2.7,NA,Female,NA,UFMGIHY8491
103,Augochloropsis,NA,iris,UFMG,Brasil,no,Minas Gerais,Nova Lima,15,xi,2004,NA,NA,2.1,NA,Female,NA,UFMG IHY 33841
104,Augochloropsis,NA,melanochaeta,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,24,vii,1995,NA,NA,2,2,Female,F.A.Silveira,UFMGIHY30
105,Augochloropsis,NA,melanochaeta,UFMG,Brasil,yes,Minas Gerais,Belo Horizonte,16,i,1996,NA,NA,2,NA,Female,F.A.Silveira,UFMGIHY301
106,Augochloropsis,NA,melanochaeta,UFMG,Brasil,yes,Minas Gerais,Brumadinho,18,i,1998,NA,NA,1.9,NA,Female,NA,UFMG IHY 6076
107,Augochloropsis,NA,melanochaeta,UFMG,Brasil,yes,Minas Gerais,Nova Lima,15,viii,1998,NA,NA,1.9,NA,Female,NA,UFMG IHY 7641
108,Augochloropsis,NA,melanochaeta,UFMG,Brasil,yes,Minas Gerais,Nova Lima,5,ix,1998,NA,NA,2,NA,Female,NA,UFMG IHY 7672
109,Augochloropsis,NA,multiplex,UFMG,Brasil,yes,Minas Gerais,Nova Lima,14,iii,2012,NA,NA,1.5,1.5,Female,R.C.Santos,UFMGIHY75471
110,Augochloropsis,NA,multiplex,UFMG,Brasil,yes,Minas Gerais,Nova Lima,14,iii,2012,NA,NA,1.5,NA,Female,R.C.Santos,UFMGIHY75472
111,Augochloropsis,NA,multiplex,UFMG,Brasil,yes,Minas Gerais,Nova Lima,14,iii,2012,NA,NA,1.6,NA,Female,R.C.Santos,UFMGIHY75496
112,Augochloropsis,NA,multiplex,UFMG,Brasil,yes,Minas Gerais,Nova Lima,15,iii,2012,NA,NA,1.5,NA,Female,J.E.Santos Jr,UFMGIHY75529
113,Augochloropsis,NA,smithiana,UFMG,Brasil,yes,Minas Gerais,Mariana,23,i,2018,NA,NA,2.2,2.2,Female,R.M. Carmo,UFMG-IHY 1800315
114,Augochloropsis,NA,smithiana,UFMG,Brasil,yes,Minas Gerais,Guiricema,27,vi,2011,Comunidade de Serote,NA,2.3,NA,Female,R.V. Silva,UFMG-IHY 1300725
115,Augochloropsis,NA,smithiana,UFMG,Brasil,yes,Minas Gerais,São João Del Rei,17,vi,2009,NA,NA,2.2,NA,Female,J.M.Muniz,UFMG-IHY 1415846
116,Augochloropsis,NA,smithiana,UFMG,Brasil,yes,Pará,Canaã dos Carajás,4,xii,2010,NA,NA,2,NA,Female,A.M.S.Dias,UFMG-IHY 1311332
117,Augochloropsis,NA,smithiana,UFMG,Brasil,yes,Minas Gerais,Mariana,23,i,2018,NA,NA,2.2,NA,Female,R.M. Carmo,UFMG-IHY 1800314
118,Bombus,Fervidobombus,brevivillus,MPEG,Brasil,no,Pará,Canaã dos Carajás,20,iii,2017,Serra da Bocaina,NA,4.6,4.4,Female,E Pinto,MPEG 03050921
119,Bombus,Fervidobombus,brevivillus,MPEG,Brasil,no,Pará,Parauapebas,23,iii,2017,N8,NA,4.5,NA,Female,E Pinto,MPEG 03050915
120,Bombus,Fervidobombus,brevivillus,UFMG,Brasil,no,Minas Gerais,Nova Lima,18,xi,2004,Parque Estadual da Serra do Rola Moça,Jardim Canadá,4.3,NA,Female,N.G.Fonseca,NA
121,Bombus,Fervidobombus,brevivillus,UFMG,Brasil,no,Minas Gerais,Brumadinho,21,xii,2011,Ponto de fauna 13,NA,4.8,NA,Female,R.M.Carmo,UFMG IHY 1414569
122,Bombus,Fervidobombus,brevivillus,UFMG,Brasil,no,Minas Gerais,Itabira,9,i,2015,NA,NA,4,NA,Female,"R,B.Martines",UFMG IHY 1501147
123,Bombus,Fervidobombus,transversalis,UFMG,Brasil,no,Pará,Água Azul do Norte,3,iv,2015,NA,NA,4.5,4.4,Female,R.B.Martins,UFMG IHY 1516268
124,Bombus,Fervidobombus,transversalis,UFMG,Brasil,no,Pará,Canaã dos Carajás,3,iii,2012,NA,NA,4.5,NA,Female,F.V.Freitas,UFMG IHY 1311705
125,Bombus,Fervidobombus,transversalis,UFMG,Brasil,no,Pará,Canaã dos Carajás,13,ii,2015,NA,NA,4.7,NA,Female,R.B.Martines & A. Cordeiro,UFMG IHY 1500761
126,Bombus,Fervidobombus,transversalis,UFMG,Brasil,no,Pará,Parauapebas,14,viii,2015,NA,NA,4.5,NA,Female,E.N.L. Siqueira,UFMG IHY 1530180
127,Bombus,Fervidobombus,transversalis,UFMG,Brasil,no,Pará,Parauapebas,11,viii,2015,NA,NA,4,NA,Female,E.N.L. Siqueira,UFMG IHY 1530146
128,Bombus,Fervidobombus,brasiliensis,UFMG,Brasil,no,Minas Gerais,Brumadinho,6,i,2002,NA,NA,4.4,4.4,Female,NA,UFMG IHY 25936
129,Bombus,Fervidobombus,brasiliensis,UFMG,Brasil,no,Minas Gerais,Brumadinho,6,i,2002,NA,NA,4.4,NA,Female,NA,UFMG IHY 25937
130,Bombus,Fervidobombus,brasiliensis,UFMG,Brasil,no,Minas Gerais,Brumadinho,9,xi,2004,NA,NA,4.4,NA,Female,NA,UFMG IHY 34082
131,Bombus,Fervidobombus,morio,MPEG,Brasil,no,Rio de Janeiro,Rio de Janeiro,NA,ii,1911,NA,NA,6,5,Female,A. Ducke,MPEG HYM 11132226
132,Bombus,Fervidobombus,morio,MPEG,Brasil,yes,Rio Grande do Sul,São Leopoldo,NA,NA,1897,NA,NA,6,NA,Female,A. Ducke,MPEG HYM 11132228
133,Bombus,Fervidobombus,morio,UFMG,Brasil,no,Minas Gerais,Brumadinho,27,xii,1997,NA,NA,3.5,NA,Female,NA,UFMG IHY 5503
134,Bombus,Fervidobombus,morio,UFMG,Brasil,no,Minas Gerais,Nova Lima,5,ix,1998,NA,NA,4.6,NA,Female,NA,UFMG IHY 7698
135,Bombus,Fervidobombus,morio,UFMG,Brasil,no,Minas Gerais,Nova Lima,29,viii,1998,NA,NA,5.1,NA,Female,NA,UFMG IHY 7705
136,Bombus,Fervidobombus,pauloensis,MPEG,Brasil,no,Minas Gerais,Barbacena,23,x,1905,NA,NA,3.5,3.9,Female,A. Ducke,MPEG HYM 11132465
137,Bombus,Fervidobombus,pauloensis,MPEG,Brasil,no,Minas Gerais,Barbacena,28,xii,1902,NA,NA,3.8,NA,Female,A. Ducke,MPEG HYM 11132466
138,Bombus,Fervidobombus,pauloensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,5,ix,1998,NA,NA,4,NA,Female,NA,UFMG IHY 7673
139,Bombus,Fervidobombus,pauloensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,12,ix,1998,NA,NA,3.8,NA,Female,NA,UFMG IHY 7721
140,Bombus,Fervidobombus,pauloensis,UFMG,Brasil,no,Minas Gerais,Nova Lima,3,x,1998,NA,NA,4.5,NA,Female,NA,UFMG IHY 10397
141,Centris,Aphemisia,plumipes,MPEG,Brasil,no,Pará,Parauapebas,17,ix,1985,Serra Norte,NA,6,5.9,Female,J Dias,MPEG-HYM11004716
142,Centris,Aphemisia,plumipes,MPEG,Brasil,no,Pará,NA,10,ii,1900,NA,NA,5.7,NA,Female,A Ducke,MPEG-HYM11130118
143,Centris,Aphemisia,plumipes,UFMG,Brasil,no,Pará,Canaã dos Carajás,15,viii,2014,corpo d,NA,6.1,NA,Female,R.N.L.Siqueira,UFMG IHY 1529825
144,Centris,Aphemisia,plumipes,UFMG,Brasil,no,Pará,Canaã dos Carajás,17,viii,2014,corpo a,NA,5.7,NA,Female,R.N.L.Siqueira,UFMG IHY 1529886
145,Centris,Aphemisia,plumipes,UFMG,Brasil,no,Pará,NA,NA,NA,1900,NA,NA,5.8,NA,Female,A Ducke,MPEG HYM 11130118
146,Centris,Aphemisia,quadrimaculata,MPEG,Brasil,yes,Mato Grosso,Aripuanã,NA,iii,1977,NA,NA,6.3,6.1,Female,W.L.Overal,MPEG HYM 11130563
147,Centris,Aphemisia,quadrimaculata,MPEG,Brasil,yes,Mato Grosso,Aripuanã,NA,iii,1977,NA,NA,6,NA,Female,W.L.Overal,MPEG HYM 11130564
148,Centris,Aphemisia,quadrimaculata,MPEG,Brasil,no,Pará,São Felix do Xingu,18,x,1977,Gorotire Xingu,NA,5.9,NA,Female,DA Posey,MPEG HYM 11130552
149,Centris,Aphemisia,quadrimaculata,MPEG,Brasil,no,Amazonas,Manaus,NA,ii,1977,Reserva Ducke,NA,6.4,NA,Female,W.L.Overal,MPEG HYM 11130567
150,Centris,Aphemisia,quadrimaculata,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,ii,2010,NA,NA,5.7,NA,Female,R.M.Carmo,UFMG IHY 1304721
151,Centris,Centris,aenea,MPEG,Brasil,no,Pará,Parauapebas,23,viii,2017,Serra da Bocaina,NA,4.5,4.7,Female,E Pinto,MPEG03050992
152,Centris,Centris,aenea,UFMG,Brasil,no,Pará,Canaã dos Carajás,16,viii,2014,corpo a,NA,4.5,NA,Female,R.N.L.Siqueira,UFMG IHY1529968
153,Centris,Centris,aenea,UFMG,Brasil,no,Minas Gerais,Nova Lima,7,iii,2012,Parque Estadual da Serra do Rola Moça,NA,5,NA,Female,J.E.Santos,NA
154,Centris,Centris,aenea,UFMG,Brasil,no,Minas Gerais,Nova Lima,7,iii,2012,Parque Estadual da Serra do Rola Moça,NA,5,NA,Female,R. Cunha Santos,NA
155,Centris,Centris,aenea,UFMG,Brasil,no,Pará,Parauapebas,19,viii,2017,Serra Norte,N5,4.7,NA,Female,E.N.L. Siqueira,UFMG IHY 1706664
156,Centris,Centris,flavifrons,UFMG,Brasil,no,Pará,Canaã dos Carajás,28,xi,2012,Bairro Centro,NA,5.8,5.5,Female,R.B. Martines,UFMG-IHY 1302144
157,Centris,Centris,flavifrons,UFMG,Brasil,no,Amazonas,Manaus,12,x,2006,Res. Florestal Adolpho Ducke,NA,5.7,NA,Female,L. Menezes,UFMG-IHY 1308972
